"Time (s)","Sound pressure level (dB)"
0.000000000E0,-5.730715933E1
1.478419167E-1,-5.371741773E1
2.483782500E-1,-5.515142701E1
3.498694167E-1,-5.943202773E1
4.561484584E-1,-5.328430950E1
5.598390833E-1,-5.423485037E1
6.652431667E-1,-6.103637761E1
7.711449167E-1,-5.362468380E1
8.754395000E-1,-5.644296984E1
9.810629167E-1,-5.335602580E1
1.087030667E0,-5.324439407E1
1.193059833E0,-6.077839224E1
1.298092667E0,-6.719883873E1
1.399809125E0,-6.689477346E1
1.505923292E0,-6.470147143E1
1.611890000E0,-6.816018137E1
1.714935208E0,-4.868203829E1
1.820933208E0,-5.086819146E1
1.926890208E0,-4.945551330E1
2.031645083E0,-5.012519679E1
2.137606042E0,-5.020597700E1
2.243568250E0,-5.558508040E1
2.348376750E0,-5.881887129E1
2.453270417E0,-5.552292656E1
2.559207667E0,-5.560072596E1
2.665115583E0,-5.520945719E1
2.771086125E0,-5.483934041E1
2.877009583E0,-5.717566922E1
2.981863458E0,-6.210115017E1
3.087867167E0,-5.787140234E1
3.189601958E0,-5.765144652E1
3.295612250E0,-5.113502217E1
3.398583292E0,-5.846715811E1
3.504529042E0,-5.815007353E1
3.610508750E0,-6.648054820E1
3.715314083E0,-6.130915613E1
3.821322667E0,-5.743633345E1
3.927246500E0,-5.434948804E1
4.032014667E0,-5.543831518E1
4.136707542E0,-5.344045419E1
4.242657458E0,-4.946038905E1
4.348315875E0,-4.668756525E1
4.449405417E0,-5.213812307E1
4.552806042E0,-6.105569898E1
4.658718583E0,-5.331323806E1
4.764664083E0,-4.848407447E1
4.870679167E0,-5.788349728E1
4.976643792E0,-6.480648748E1
5.082278500E0,-6.810677443E1
5.188233250E0,-5.612331071E1
5.294186833E0,-4.398796167E1
5.399027583E0,-4.910334373E1
5.504943667E0,-5.031442851E1
5.607958875E0,-4.970622335E1
5.713930583E0,-4.748931778E1
5.815792167E0,-4.779058956E1
5.917680625E0,-5.588504211E1
6.023590792E0,-4.758314424E1
6.127249125E0,-4.808370660E1
6.232507042E0,-5.226290318E1
6.338440833E0,-5.753766060E1
6.439774875E0,-6.250501291E1
6.545381458E0,-4.749732813E1
6.649290125E0,-4.496272700E1
6.755328417E0,-4.804126201E1
6.859755292E0,-5.303339937E1
6.965489208E0,-5.364755232E1
7.066601375E0,-5.253747761E1
7.172568375E0,""
7.278530333E0,""
7.382742250E0,""
7.488791417E0,""
7.594741708E0,""
